time,pos_FR_hip_joint,pos_FR_thigh_joint,pos_FR_calf_joint,pos_FL_hip_joint,pos_FL_thigh_joint,pos_FL_calf_joint,pos_RR_hip_joint,pos_RR_thigh_joint,pos_RR_calf_joint,pos_RL_hip_joint,pos_RL_thigh_joint,pos_RL_calf_joint
0.224,-0.0595217348747975,1.00114723505425,-1.87737232688357,0.00776427573044082,0.786621235156011,-1.89439173774784,-0.0247741798198869,0.801327492017551,-1.99114618983228,0.0727654072505893,0.947571745865368,-1.98620953982242
0.232,-0.0507340147825066,1.03200706025794,-1.88767506068712,0.00835602227277384,0.77317845120813,-1.87135753460817,-0.0277147720897351,0.787348038429101,-1.98161515752726,0.069507580412374,0.978714651495239,-1.99230627572587
0.24,-0.0428988466671597,1.06553622658251,-1.90392014596603,0.0107605015739031,0.765032449449034,-1.85684677023715,-0.028379750465068,0.774998883124421,-1.96940298709027,0.0622340269876578,1.01727334922239,-1.99737793999126
0.248,-0.0373316870810053,1.09897427702943,-1.92424831980631,0.0167495370126169,0.764810057945896,-1.8598264755332,-0.0288797385135961,0.765090731142773,-1.95664209105961,0.0531827584028753,1.05680969565218,-2.00430388588772
0.256,-0.0331432182750774,1.12979110631464,-1.94689141326519,0.0229541100693667,0.768552378740019,-1.86869454478481,-0.0302258872220208,0.757928557654829,-1.94548483831316,0.044522587807451,1.09358619260671,-2.01454491850937
0.264,-0.029678168540398,1.15592247857295,-1.9706032751451,0.0280343650240215,0.773869894815914,-1.87805855804149,-0.0325697530436397,0.75322258518011,-1.93688560693136,0.0375316935968543,1.12499913760656,-2.02772167814105
0.272,-0.026613741272401,1.17605552396144,-1.99452144537669,0.0318845937582675,0.77977247819522,-1.88596867558139,-0.0356830665672759,0.750581889484264,-1.93068248441815,0.0323183267243002,1.14981467385723,-2.04285739263968
0.28,-0.0238322859053796,1.1895361810651,-2.01809272414993,0.0347938958850996,0.785937110977031,-1.89191929394387,-0.0392316925137372,0.749665137776886,-1.92631982115379,0.0285809669845146,1.16750369660659,-2.05913675037293
0.288,-0.0212869250049216,1.19624968009502,-2.04095078815312,0.0370770422713854,0.792388272657121,-1.89592727313234,-0.0429178248189477,0.750489004273749,-1.92358210858313,0.0259815825890229,1.17802861370095,-2.07595642725411
0.296,-0.0188754927700556,1.19683055455165,-2.06289024889559,0.0390356912698623,0.799298134604488,-1.89819609971862,-0.0464981350413555,0.753156839274371,-1.92236551548471,0.0241434554055377,1.1820715608168,-2.09289315778287
0.304,-0.0167092914946018,1.19139161633194,-2.08362418298686,0.0409209246216574,0.806811067777701,-1.89908843981073,-0.0497701525883675,0.757607675406321,-1.92247648395901,0.0228546226530518,1.17971324885501,-2.10945800545783
0.312,-0.0148136706926195,1.18017793248454,-2.10288277210198,0.0428677038936519,0.815072031648434,-1.89893046264499,-0.052632387183284,0.763841339927539,-1.92384115930781,0.0218874844481495,1.17118999871786,-2.12522848671349
0.32,-0.0131679941068479,1.16357898142303,-2.12021665351832,0.0449530976766206,0.824165252979769,-1.89789185877343,-0.0550634778834735,0.771812372292137,-1.92634230621862,0.0210735785259919,1.15690071787521,-2.13962730376922
0.328,-0.0117176320199407,1.14201303005693,-2.13494889263636,0.0472303421634582,0.834136380326268,-1.89614671456808,-0.057060124860529,0.781399108679115,-1.92980335769328,0.0203118033136953,1.13727501821448,-2.15187066338298
0.336,-0.0104414396154782,1.11597231559168,-2.1461497223654,0.049714619217003,0.844988394514227,-1.89385714562689,-0.0586525188367265,0.792433388702213,-1.934019431898,0.0195364199764408,1.11282740588517,-2.16094379122286
0.344,-0.00934004784078384,1.0861295531452,-2.15282300026531,0.0523972584082779,0.856686438461671,-1.89117073325998,-0.0598927300678936,0.804721983248579,-1.9387795754256,0.0187215414321258,1.0842637597726,-2.16583526955471
0.352,-0.0083899446185148,1.05341310639432,-2.15391775571151,0.0552480623547318,0.869159183733721,-1.88821263530313,-0.0608567864830662,0.818053591075845,-1.94387109753973,0.0178090463932374,1.05254238956032,-2.16533322227257
0.36,-0.0076329915752595,1.01887377314278,-2.14773051190415,0.0582372695436698,0.882301851011845,-1.88508332862133,-0.0616128608431869,0.832212121562864,-1.94908198272064,0.0168604048298923,1.01875710766706,-2.15774027479344
0.368,-0.00704075347396168,0.983640836881852,-2.13284928754472,0.0613327930117996,0.895979314025494,-1.88187808973809,-0.0622344866832431,0.846957059138537,-1.95419890657201,0.0158670884495067,0.984067030646011,-2.14161203387815
0.376,-0.00659865329316454,0.948619234332065,-2.10837188833389,0.0645012242204347,0.910031023047863,-1.87870514885419,-0.0627918168260883,0.86201867489216,-1.95901139131323,0.0148250971010285,0.949400230899185,-2.11601399761181
0.384,-0.00626586924072884,0.914407263789674,-2.07433467667331,0.0677083218061582,0.924288492412788,-1.87569462666928,-0.0633489316030881,0.877110217264452,-1.96332870942669,0.0137093832889339,0.915374893637476,-2.08095565616735
0.392,-0.00591950579526812,0.881597603041203,-2.03289451768439,0.0709169658659145,0.938607689369459,-1.87301180267201,-0.0639725765235439,0.891964691371559,-1.96702559891992,0.0124000492832476,0.882608107193081,-2.03857671389777
